Winner,FT,Loser,First Shooter
Czechoslovakia,2–2,West Germany,Czechoslovakia
Czechoslovakia,1–1[A],Italy,Italy
Spain,1–1,Denmark,Denmark
Denmark,2–2,Netherlands,Netherlands
England,0–0,Spain,England
France,0–0,Netherlands,Netherlands
Czech Republic,0–0,France,France
Germany,1–1,England,England
Italy,0–0,Netherlands,Italy
Portugal,2–2,England,England
Netherlands,0–0,Sweden,Sweden
Turkey,1–1,Croatia,Croatia
Spain,0–0,Italy,Spain
Italy,0–0,England,Italy
Spain,0–0,Portugal,Spain
Poland,1–1,Switzerland,Switzerland
Portugal,1–1,Poland,Portugal
Germany,1–1,Italy,Italy
Switzerland,3–3,France,Switzerland
Spain,1–1,Switzerland,Spain
Italy,1–1,Spain,Italy
Italy,1–1,England,Italy
Portugal,0–0,Slovenia,Slovenia
France,0–0,Portugal,France
England,1–1,Switzerland,England
